,label,step,gaussian_node,categorical_node,input,index,metric_value,metric_name,input_raw,used_
0,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,12,2,3,BL21,236,1.618349,Training_EuclideanDist-Mean,0,TRUE
1,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,2,0,1,C,322,1.747967,Training_EuclideanDist-Mean,1,TRUE
2,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,14,2,1,Crooks,622,1.469448,Training_EuclideanDist-Mean,2,TRUE
3,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,2,0,1,DH5a,834,1.708112,Training_EuclideanDist-Mean,3,TRUE
4,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,10,3,3,MG1655,1274,1.078096,Training_EuclideanDist-Mean,4,TRUE
5,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,0,2,W,1413,1.176222,Training_EuclideanDist-Mean,5,TRUE
6,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,11,2,2,W3110,1707,1.31559,Training_EuclideanDist-Mean,6,TRUE
7,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,14,0,0,BL21,14,11.655142,Training_ManhattanDist-Mean,0,TRUE
8,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,2,0,1,C,322,12.436736,Training_ManhattanDist-Mean,1,TRUE
9,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,12,2,0,Crooks,556,10.617222,Training_ManhattanDist-Mean,2,TRUE
10,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,4,0,3,DH5a,964,12.19221,Training_ManhattanDist-Mean,3,TRUE
11,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,10,3,3,MG1655,1274,7.496123,Training_ManhattanDist-Mean,4,TRUE
12,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,0,2,W,1413,8.631054,Training_ManhattanDist-Mean,5,TRUE
13,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,8,2,1,W3110,1640,9.398776,Training_ManhattanDist-Mean,6,TRUE
14,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,6,0,3,BL21,198,89.07537,Training_PercentDifference-Mean,0,TRUE
15,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,7,0,3,C,455,90.69005,Training_PercentDifference-Mean,1,TRUE
16,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,3,3,3,Crooks,755,88.2431,Training_PercentDifference-Mean,2,TRUE
17,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,4,0,3,DH5a,964,92.00648,Training_PercentDifference-Mean,3,TRUE
18,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,11,3,3,MG1655,1275,82.651405,Training_PercentDifference-Mean,4,TRUE
19,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,8,2,0,W,1320,90.59764,Training_PercentDifference-Mean,5,TRUE
20,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,0,3,W3110,1733,90.74805,Training_PercentDifference-Mean,6,TRUE
21,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,12,2,3,BL21,236,1.71652,Validation_EuclideanDist-Mean,0,TRUE
22,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,14,3,1,C,382,1.868053,Validation_EuclideanDist-Mean,1,TRUE
23,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,13,2,0,Crooks,557,1.584279,Validation_EuclideanDist-Mean,2,TRUE
24,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,6,0,1,DH5a,838,1.86851,Validation_EuclideanDist-Mean,3,TRUE
25,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,10,0,3,MG1655,1226,1.132166,Validation_EuclideanDist-Mean,4,TRUE
26,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,9,2,2,W,1449,1.434686,Validation_EuclideanDist-Mean,5,TRUE
27,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,6,3,3,W3110,1782,1.884936,Validation_EuclideanDist-Mean,6,TRUE
