step,gaussian_node,categorical_node,input_raw,input,index,used_
0,0,0,0,BL21,0,TRUE
1,0,0,0,BL21,1,TRUE
2,0,0,0,BL21,2,TRUE
3,0,0,0,BL21,3,TRUE
4,0,0,0,BL21,4,TRUE
5,0,0,0,BL21,5,TRUE
6,0,0,0,BL21,6,TRUE
7,0,0,0,BL21,7,TRUE
8,0,0,0,BL21,8,TRUE
9,0,0,0,BL21,9,TRUE
10,0,0,0,BL21,10,TRUE
11,0,0,0,BL21,11,TRUE
12,0,0,0,BL21,12,TRUE
13,0,0,0,BL21,13,TRUE
14,0,0,0,BL21,14,TRUE
15,0,0,0,BL21,15,TRUE
0,1,0,0,BL21,16,TRUE
1,1,0,0,BL21,17,TRUE
2,1,0,0,BL21,18,TRUE
3,1,0,0,BL21,19,TRUE
4,1,0,0,BL21,20,TRUE
5,1,0,0,BL21,21,TRUE
6,1,0,0,BL21,22,TRUE
7,1,0,0,BL21,23,TRUE
8,1,0,0,BL21,24,TRUE
9,1,0,0,BL21,25,TRUE
10,1,0,0,BL21,26,TRUE
11,1,0,0,BL21,27,TRUE
12,1,0,0,BL21,28,TRUE
13,1,0,0,BL21,29,TRUE
14,1,0,0,BL21,30,TRUE
15,1,0,0,BL21,31,TRUE
0,2,0,0,BL21,32,TRUE
1,2,0,0,BL21,33,TRUE
2,2,0,0,BL21,34,TRUE
3,2,0,0,BL21,35,TRUE
4,2,0,0,BL21,36,TRUE
5,2,0,0,BL21,37,TRUE
6,2,0,0,BL21,38,TRUE
7,2,0,0,BL21,39,TRUE
8,2,0,0,BL21,40,TRUE
9,2,0,0,BL21,41,TRUE
10,2,0,0,BL21,42,TRUE
11,2,0,0,BL21,43,TRUE
12,2,0,0,BL21,44,TRUE
13,2,0,0,BL21,45,TRUE
14,2,0,0,BL21,46,TRUE
15,2,0,0,BL21,47,TRUE
0,3,0,0,BL21,48,TRUE
1,3,0,0,BL21,49,TRUE
2,3,0,0,BL21,50,TRUE
3,3,0,0,BL21,51,TRUE
4,3,0,0,BL21,52,TRUE
5,3,0,0,BL21,53,TRUE
6,3,0,0,BL21,54,TRUE
7,3,0,0,BL21,55,TRUE
8,3,0,0,BL21,56,TRUE
9,3,0,0,BL21,57,TRUE
10,3,0,0,BL21,58,TRUE
11,3,0,0,BL21,59,TRUE
12,3,0,0,BL21,60,TRUE
13,3,0,0,BL21,61,TRUE
14,3,0,0,BL21,62,TRUE
15,3,0,0,BL21,63,TRUE
0,0,1,0,BL21,64,TRUE
1,0,1,0,BL21,65,TRUE
2,0,1,0,BL21,66,TRUE
3,0,1,0,BL21,67,TRUE
4,0,1,0,BL21,68,TRUE
5,0,1,0,BL21,69,TRUE
6,0,1,0,BL21,70,TRUE
7,0,1,0,BL21,71,TRUE
8,0,1,0,BL21,72,TRUE
9,0,1,0,BL21,73,TRUE
10,0,1,0,BL21,74,TRUE
11,0,1,0,BL21,75,TRUE
12,0,1,0,BL21,76,TRUE
13,0,1,0,BL21,77,TRUE
14,0,1,0,BL21,78,TRUE
15,0,1,0,BL21,79,TRUE
0,1,1,0,BL21,80,TRUE
1,1,1,0,BL21,81,TRUE
2,1,1,0,BL21,82,TRUE
3,1,1,0,BL21,83,TRUE
4,1,1,0,BL21,84,TRUE
5,1,1,0,BL21,85,TRUE
6,1,1,0,BL21,86,TRUE
7,1,1,0,BL21,87,TRUE
8,1,1,0,BL21,88,TRUE
9,1,1,0,BL21,89,TRUE
10,1,1,0,BL21,90,TRUE
11,1,1,0,BL21,91,TRUE
12,1,1,0,BL21,92,TRUE
13,1,1,0,BL21,93,TRUE
14,1,1,0,BL21,94,TRUE
15,1,1,0,BL21,95,TRUE
0,2,1,0,BL21,96,TRUE
1,2,1,0,BL21,97,TRUE
2,2,1,0,BL21,98,TRUE
3,2,1,0,BL21,99,TRUE
4,2,1,0,BL21,100,TRUE
5,2,1,0,BL21,101,TRUE
6,2,1,0,BL21,102,TRUE
7,2,1,0,BL21,103,TRUE
8,2,1,0,BL21,104,TRUE
9,2,1,0,BL21,105,TRUE
10,2,1,0,BL21,106,TRUE
11,2,1,0,BL21,107,TRUE
12,2,1,0,BL21,108,TRUE
13,2,1,0,BL21,109,TRUE
14,2,1,0,BL21,110,TRUE
15,2,1,0,BL21,111,TRUE
0,3,1,0,BL21,112,TRUE
1,3,1,0,BL21,113,TRUE
2,3,1,0,BL21,114,TRUE
3,3,1,0,BL21,115,TRUE
4,3,1,0,BL21,116,TRUE
5,3,1,0,BL21,117,TRUE
6,3,1,0,BL21,118,TRUE
7,3,1,0,BL21,119,TRUE
8,3,1,0,BL21,120,TRUE
9,3,1,0,BL21,121,TRUE
10,3,1,0,BL21,122,TRUE
11,3,1,0,BL21,123,TRUE
12,3,1,0,BL21,124,TRUE
13,3,1,0,BL21,125,TRUE
14,3,1,0,BL21,126,TRUE
15,3,1,0,BL21,127,TRUE
0,0,2,0,BL21,128,TRUE
1,0,2,0,BL21,129,TRUE
2,0,2,0,BL21,130,TRUE
3,0,2,0,BL21,131,TRUE
4,0,2,0,BL21,132,TRUE
5,0,2,0,BL21,133,TRUE
6,0,2,0,BL21,134,TRUE
7,0,2,0,BL21,135,TRUE
8,0,2,0,BL21,136,TRUE
9,0,2,0,BL21,137,TRUE
10,0,2,0,BL21,138,TRUE
11,0,2,0,BL21,139,TRUE
12,0,2,0,BL21,140,TRUE
13,0,2,0,BL21,141,TRUE
14,0,2,0,BL21,142,TRUE
15,0,2,0,BL21,143,TRUE
0,1,2,0,BL21,144,TRUE
1,1,2,0,BL21,145,TRUE
2,1,2,0,BL21,146,TRUE
3,1,2,0,BL21,147,TRUE
4,1,2,0,BL21,148,TRUE
5,1,2,0,BL21,149,TRUE
6,1,2,0,BL21,150,TRUE
7,1,2,0,BL21,151,TRUE
8,1,2,0,BL21,152,TRUE
9,1,2,0,BL21,153,TRUE
